Words,Reading,Meaning,Type,Sentence,Translation
止める,yameru,"stop, give up, resign",,喋るのをやめろ,Stop talking.
固める,katameru,strengthen,,守りを固めろ！来るぞ！,Tighten the defences! They’re coming!
強める,tsuyomeru,strengthen,,このビタミンは病気に対する抵抗力を強めます,This vitamin boosts your immune system from diseases.
励む,hagemu,"strive, make every effort",,彼は勉強に励んでいる,He is diligent in his study.
詰める,tsumeru,stuff into/pack/fill,,バスの中ほどへ詰めて下さい,"Move into the bus, please!"
登録する,touroku,subscribe,,新しいメルマガに登録しました,I subscribed to a new email magazine.
差し引く,sashihiku,subtract/minus,,はちひくいちはななです,Eight minus one is seven.
成功する,seikou suru,succeed,,彼は必ず成功する,He is sure to succeed
苦しむ,kurushimu,suffer,,胃痛に苦しむ,I suffer from a stomach ache.
言い出す,iidasu,"suggest, start talking",,これはだれかの言い出したことかい,Was this somebody else’s idea?
適う,kanau,"suit, come true",,夢は叶った,Dreams came true.
支える,sasaeru,support,,彼女は彼が貧しいときも彼を支えるすばらしい配偶者だった,She was an excellent spouse who stood by him through poverty.
囲む,kakomu,"surround, enclose",,彼女の家は白い垣根で囲まれている,Her house is surrounded by a white fence.
泳ぐ,oyogu,swim,,彼は泳げる,He can swim.
取る,toru,take,,メモを取りなさい,You should take notes.
掛かる,kakaru,take (length of time),,何分かかりますか,How long is the ride?
浴びる,abiru,take a shower,,さっとシャワーを浴びた,She grabbed a shower.
引き受ける,hikiukeru,take charge of,,がそれを引き受けます,I’ll see to it.
脱ぐ,nugu,"take off, remove (shoes, clothes)",,コートを脱ぎなさい,Take off your coat.
離陸する,ririku suru,take off (plane),,午後十時に離陸する,take off at 10 PM
関わる,kakawaru,"take part in, affect",,私は関わっていない,I am not getting involved.
話す,hanasu,talk,,ジャックは英語を話す,Jack speaks English.
言い換える,iikaesu,"talk back, retort",,それを他の言葉に言い換えなさい,Say it in another way.
教える,oshieru,"teach, show",,教える事は学ぶ事である,Teaching is learning.
破る,yaburu,"tear, break, defeat",,彼は決して約束やぶらない,He never breaks his promise.
冷やかす,hiyakasu,"tease, make fun of",,人前で彼を冷やかすなんて君は意地悪だ,It is mean of you to ridicule him in public.
戒める,imashimeru,"tell off, caution",,彼は息子の怠惰さを戒めた,He admonished his son for being lazy.
試す,tamesu,"test, try, taste",,このソース試してみて,Try this sauce
感謝する,kansha suru,thank,,心から感謝します,I really appreciate it.
考える,kangaeru,think,,考えてください,Please think it over.
思う,omou,think,,そう思います,I agree.
思いつく,omoitsuku,Think of / come into your mind,,良いアイデアが思いついた,A good idea came to mind.
投げる,nageru,throw,,ボールを投げてください,Please throw the ball.
捨てる,suteru,throw away,,こにゴミを捨てるべからず,Don’t throw trash here.
結ぶ,musubu,"tie, knot, make a contract",,靴の紐を結びなさい,Tie your shoelaces.
上回る,uwamawaru,"top, exceed",,もちろん利潤は生産費を上回るべきです,Benefits of course should exceed the costs.
虐める,ijimeru,"torment, bully",,彼は以前友達をいじめていた,He used to bully his friends.
いびる,ibiru,"torment, roast",,私をいびらないで,"Don’t pick on me, please."
触れる,fureru,touch,,手を触れるな,Don’t touch.
触る,sawaru,touch or feel (physically),,それに触るな,Don’t touch it.
乗り換える,norikaeru,transit,,乗り換えるのですか,Do I have to change trains?
旅行する,ryoukousuru,travel,,私はよく旅行します,I often travel.
騙す,damasu,trick,,私を騙さないで下さい,Don’t deceive me.
挑戦する,chōsen suru,try,,スカイダイビングに挑戦したいのです,I’d like to try skydiving.
曲がる,magaru,turn,,左へ曲がりなさい,Turn to the left.
消す,kesu,"turn off, erase",,電気を消すな,Don’t turn off the light.
点ける,tsukeru,"turn on, light",,ラジオをつけなさい,Turn on the radio.
捩じる,nejiru,twist,,その取っ手を右にねじると箱は開きます,Twist that knob to the right and the box will open.
捩る,yojiru,"twist, distort",,その取っ手を右にねじると箱は開きます,Twist that knob to the right and the box will ope
分かる,wakaru,understand,,分かる、分かる,I know what you mean.
組む,kumu,"unite, put together",,私はテニスで彼女と組んだ,I partnered her in tennis.
解く,hodoku,untie,,その問題を解くのは難しい,The problem is difficult to solve.
使う,tsukau,use,,私がそれを使います,I use it.
使う,tsukau,"use, operate",,私がそれを使います,I use it.
消える,kieru,"vanish, go out, be extinguished",,頭痛が消えた,My headache has gone away.
ゲロをはく,gero wo haku,vomit/throw up,,私は大変気分が悪い。ゲロをはきたいです,I feel very sick. I want to throw up.
待つ,matsu,wait,,ちょっと待って,Wait a moment.
起こす,okosu,wake (somebody) up,,彼女は彼を起こした,She woke him up.
歩く,aruku,walk,intrans.,歩きましょうか,Shall we walk?
欲しがる,hoshigaru,"want, desire, to appear to want to have (something), to seem to want",trans.,赤ん坊は母乳を欲しがる,A baby craves its mother’s milk.
洗う,arau,wash,trans.,足を洗いなさい,Wash your feet.
暖まる,atatamaru,"warm up, heat up",intrans.,この部屋はすぐに暖まる,This room will soon heat up.
見る,miru,watch,trans.,私はテレビを見る,I watch television.
眺める,nagameru,"watch, view",trans.,星をながめるのは興味深()い,It is interesting to watch stars.
着る,kiru,wear,trans.,コートを着なさい,Put on your coat.
被る,kaburu,"wear (on your head), put on",trans.,彼女は帽子をかぶった,She put on her hat.
勝つ,katsu,win,intrans.,どっちが勝ってるの？,Who’s winning?
働く,hataraku,work,intrans.,彼女はよく働く,She works hard.
勤める,tsutomeru,work for,trans.,あなたはどこに勤めていますか,Where do you work?
気遣う,kizukau,"worry about, consider",trans.,彼女は君の安否を気遣っているよ,She has anxiety for your safety.
祀る,matsuru,worship,trans.,この記念碑は祖国に命を捧げた兵士を祭っている,This monument is dedicated to the soldiers who gave their lives to their country.
傷つける,kizutsukeru,"wound, damage, harm",trans.,他人を傷つけることはよくない, It is bad to hurt others.
包む,tsutsumu,wrap,trans.,美しい包装紙に包んでもらえますか, Could you gift wrap it?
書く,kaku,write,trans.,脚本を書いていて、行き詰まった時はどうする,What do you do when you get writer’s block while writing a script?
あくびする,akubi wo suru,yawn,suru,大あくびをして,Yawn a big long yawn.
怒鳴る,donaru,yell,intrans.,私に怒鳴ったりしないでよ,Don’t yell at me
行き合う,ikiau,to meet by coincidence while one is out,intr.,私は昔の友達とばったり行き合った,I happened to run into an old friend.
請け合う,ukeau,to guarantee that something is certain,tr.,彼の人柄は、私が請け合います,I can vouch for his character.
請け合う,ukeau,to accept with responsibility,tr.,できない仕事を請け合ってはいけません,We must not accept any work that we cannot do
打ち合う,uchiau,to strike each other,vol. intr.,剣士は互いに打ち合った,The kendoka struck each other.
押し合う,oshiau,to push each other,tr.,子供たちは押し合った,The children pushed each other.
落ち合う,ochiau,to get together at a certain place,vol. intr.,私は友達と駅で落ち合った,I met up with my friend at the station.
折り合う,oriau,"to reach an agreement, to compromise",intr.,両者の条件がようやく折り合った,The two parties finally found a way to accommodate each other’s conditions
関わり合う,kakawariau,to have a relationship,vol. intr.,私は．あの人と関わり合いたくない, don't want to have anything to do with that person.
掛け合う,kakeau,to negotiate with the other person,vol. intr.,,
語り合う,katariau,to tell each other,tr.,,
絡み合う,karamiau,To become entangled with each other.,intr.,,
切り合う,kiriau,To fight each other and attempt to cut each other down.,vol. intr.,,
混み合う,komiau,to be crowded because many people are gathered.,intr.,,
差し合う,sashiau,To come into conflict. To battle each other.,intr.,,
知り合う,shiriau,To get to know each other and start interacting.,intr.,,
攻め合う,semeau,To attack each other.,vol. intr.,,
競り合う,seriau,To compete and try to obtain.,tr.,,
立ち合う,tachiau,To compete. To dispute.,vol. intr.,,
抱き合う,dakiau,To hug each other.,intr.,,
通じ合う,tsuujiau,To be understandable to each other.,intr.,,
付き合う,tsukiau,To be dating (someone).,vol. intr.,,
付き合う,tsukiau,To accompany someone in his or her activities in order to maintain a social relationship.,vol. intr.,私は彼と付き合っている,I'm dating him.
釣り合う,tsuriau,"For two (or more) things to go well together, not biased to one side. To be balanced.",intr.,彼らは食事に付き合った,They shared a meal with me.
溶け合う,tokeau,To melt and become one.,intr.,,
取り合う,toriau,To grasp each other's hands.,tr.,,
取り合う,toriau,For several people to fight over one thing.,tr.,,
殴り合う,naguriau,To punch each other.,vol. intr.,,
握り合う,nigiriau,To hold mutually.,tr.,,
睨み合う,niramiau,To glare at each other.,intr.,,
張り合う,hariau,"To be in competition, with neither person willing to lose.",vol. intr.,,
引き合う,hikiau,To pull at each other.,intr.,磁石のＮ極とＳ極が引き合う．,The north and south poles of magnets are attracted to each other.
引き合う,hikiau,To have profit from a deal.,intr.,この仕事は採算的に引き合わない,This job just does not pay.
触れ合う,fureau,To touch each other. To interact familiarly.,intr.,,
ぶつかり合う,butsukariau,For two things to collide with great momentum.,intr.,,
混ざり合う,mazariau,"To mix together. ""Majiri au"" is more common.",intr.,,
混じり合う,majiriau,To mix with each other and become one. To mingle.,intr.,,
向かい合う,mukaiau,To face each other's fronts.,vol. intr.intr.,,
向き合う,mukiau,To face each other,vol. intr.,,
巡り合う,meguriau,To meet unexpectedly (that which one has sought after for a long time).,intr.,,
揉み合う,momiau,To shove each other with neither compromising.,vol. intr.,,
やり合う,yariau,To dispute with each other.,vol. intr.,,
