W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
脱出,escape,保護,protection,形成,formation,肉体,flesh,資産,asset,甘くする,to sweeten
土台,foundation,保険,insurance,携帯,"mobile phone, carrying",担う,responsible,視線,gaze,味わう,to taste
独裁,dictatorship,本能,instinct,権限,"authority, power",認識,recognition,指摘,pointing out,嫌な匂いがする,to smell bad
独占,monopoly,本心,true feelings,権威,"authority, power",妊娠,pregnancy,嫉妬,jealousy,いい匂いがする,to smell nice
度胸,"courage, nerve, guts",本質,the essence,権力,power,農場,farm,視野,field of vision,嗅ぐ,to sniff
動員,mobilization,崩壊,collapse,決断,decision,覚え,remember,処分,disposal,置く,to put
同情,sympathy,放棄,abandonment,決意,"decision, determination",犯す,commit,職務,duties,捨てる,to discard
動機,motive,方策,policy,規模,scale,重荷,the burden,所得,income,食卓を演出する,to lay the table
同盟,alliance,報酬,"remuneration, reward",危機,crisis,大幅,significantly,象徴,symbol,煮立つ,to simmer
同類,same kind,法廷,courtroom,機構,mechanism,愚か,stupid,衝動,impulse,熱を上げる,to turn up the heat
同士,"fellow, mutual",票,a vote,勤勉,diligence,恐れ,fear,生涯,lifetime,挽く,to grind
同等,equal,一部,"some, a part",緊急,"emergency, urgency",襲う,attack,証言,testimony,コートする,to coat
動揺,"shaking, upset, unrest",著しい,"remarkable, striking",規制,regulation,訪れる,visit,証拠,evidence,そうじする,to clean up
映像,"image, video",移住,"migration, immigration",奇跡,miracle,負う,bear,照明,illumination,結ぶ,to tie
演じる,"to act, to perform",怒り,anger,競う,compete with,楽観,optimism,消滅,extinction,削除する,to remove
不動産,real estate,一刻,moment,規定,"provision, regulation",連中,colleagues,奨励,encouragement,開く,to open
腐敗,corruption,移行,migration,気絶,"faint, swoon",理屈,theory,詳細,more detail,香水に,to perfume
不可欠,"indispensable, essential",移民,immigration,築く,build,理性,reason,昇進,promotion,共有する,to share
復讐,revenge,痛める,"to hurt, to cause pain",傷つける,"hurt, harm",利息,interest,少数,a few,合格する,to pass
紛争,"dispute, conflict",痛む,"aching, hurts",拒む,refuse,理論,theory,正体,true colors,計量する,to weigh
相応しい,"appropriate, suitable",意図,intention,誇張,exaggeration,論理,logic,勝利,victory,こねる,to knead
負傷,injury,営む,"to run a business, to conduct",孤独,"loneliness, solitude",浪費,waste,所有,ownership,つまむ,to pinch
負担,burden,意欲,willingness,試みる,try,領域,area,主導,initiative,刺すための,to sting
不当,"injustice, unfair",依然,"still, as yet",根拠,basis,良心,conscience,守衛,security guard,場所へ,to place
封鎖,blockade,依存,dependence,個性,"individuality, personality",察知,infer,手法,technique,プランジへ,to plunge
概念,concept,地獄,hell,固定,fixation,定める,establish,収集,collection,卵を密猟する,to poach eggs
現地,local,事業,business,興奮,excitement,最悪,worst,収益,earning,魚を密猟する,to poach fish
厳密,strict,自覚,self-awareness,抗議,protest,細部,details,措置,measure,コショウする,to pepper
抑制,suppression,用件,business,要する,take,勇敢,bravery,融資,loan,ポーズする,to pose
要因,factor,要請,request,弱める,weaken,優先,priority,有する,with,粉にする,to powder
決議案,resolutions,賛成,"approval, agreement",増強,increase,絶望,despair,前提,premise,あたためる,to warm
交際期間を経て,after a period of dating,動物,animal,外国人にとって,for foreigners,学級,(school) class,いい匂いがする,smells good,曲がる,to turn
経験を経て,through experience,買い物,shopping,日本人にとって,for the japanese,高級,"high-class, high-grade",甘い香りがする,smells sweet,漬ける,"to dip, to soak"
失敗を経て,through failure,動物園,zoo,私にとって,for me,上級,advanced level,吐き気がする,feel nauseated,選別する,to sort
研修期間を経て,after a training period,贈り物,present,留学生として,as a foreign student,初級,beginner level,変な味がする,tastes weird,注ぐ,to pour
感激の極みだ,extremely impressed,乗り物,vehicle,非常勤講師として,as a part-time lecturer,階級,(social) class,食べた後で,after eating,空にする,to empty
贅沢の極みだよ,the height of luxury,博物館,museum,エンジニアとして,as an engineer,同級生,classmate,写真を撮った,took a photo,望む,to desire
終わるのやら,don’t know if it’s over,物価,prices,モデルとして,as a model,級友,classmate,授業の後で,after class,希望,"hope, wish"
合格できるのやら,don’t know if i can pass,植物,"plant, vegetation",歌手として,as a singer,特級,high grade,映画の後で,after the movie,失望,disappointment
考えているのやら,don’t know what i’m thinking,物語,story,親として,as a parent,同級,same class,飲み会の後で,after drinking,要望,"demand for, request"
本日をもって,as of today,生物,living thing,お茶の町として,as a tea town,高級車,luxury car,それなら,if so,見る,to watch
今月をもって,as of this month,穀物,"grain, cereal",記念品として,as a souvenir,低級,low-grade,初めてなら,if it is your first time,ささやく,to whisper
今度の試合をもって,with the upcoming match,物質,"material, substance",やり抜いた,made it through,最高級,"highest grade, top class",行くなら,if in case you go to,口笛を吹く,to whistle
心配をよそに,despite of worries,食べ物,food,走り抜いた,run to the end,下級,lower grade,遅れそうなら,if you are running late,まばたきをする,to wink/
反対をよそに,despite of opposition,建物,building,考え抜いた,thought it through,中級,intermediate level,忙しいので,since i’m busy,働く,to work
期待をよそに,despite of expectations,荷物,荷物,年を取るにつれて,as one gets older,中産階級,middle class,暑いので,because it’s hot,勤める,to work for
注意をよそに,despite of cautions,飲み物,drink,時間が経つにつれて,as time goes by,世紀,century,やすいので,since it' cheap,書く,to write
達成せんがために,in order to achieve,果物,fruit,順番が近くにつれて,as the order draws near,紀元,era,覚えにくい,hard to remember,あくびをする,to yawn
助けんがために,in order to save,見物,sightseeing,夏が近くにつれて,as summer approaches,紀行,travelogue,食べにくい,difficult to eat,フロント,the front
守らんがために,in order to protect,農産物,crops,彼抜きにして,without him,契約,contract,読みにくい,hard to read,戻る,the back
合格せんがために,for the sake of passing,貨物,"cargo, freight",冗談は抜きにして,cutting out the jokes,節約,economising,壊れにくい,hard to break,内,"in, inside, within"
得んがために,in order to gain,鉱物,mineral,ピクルス抜きで,without pickles,婚約,engagement,言いにくい,hard to say,後ろに,"in back of, behind"
試合に方んがために,in order to win a game,名物,famous product,ワサビ抜きで,without wasabi,約束,"promise, agreement",靴を履いたまま,with shoes on,の前に,in front of
割れんばかり,on the verge of breaking,編み物,knitting,証言に基づき,based on testimonies,予約,"reservation, appointment",そのまま,as it is,の間に,between
結果を踏まえて,based on the results,品物,goods,結果に基づいて,based on the results,条約,"treaty, pact",目をあけたまま,with eyes open,下,under
事実を踏まえて,based on facts,着物,kimono,事実に基づいて,based on facts,規約,"agreement, rules",わからないまま,without understanding,上に,"on, onto"
実績を踏まえると,based on track record,物体,"object, body",意見に基づいて,based on opinions,制約,"limitation, restriction",聞こえるように,to be heard,に向かって,toward
反省を踏まえ,based on reflection,織物,"textile, fabric",実績に基づき,based on actual results,確約,firm promise,働けるように,to be able to work,近くに,nearby
喧嘩を境に,after a quarrel,忘れ物,lost article,会議室を使うには,to use the conference room,公約,public commitment,合格できるように,to be able to pass,隣に,next to
大学卒業を境に,after college graduation,人物,person,借りるには,to borrow,婚約者,fiancee,話せるように,to be able to speak,横に,beside
定年退職を境に,after retirement,物事,things,風邪を直すには,to cure a cold,誓約,"oath, vow",元気になるように,to feel well,右の方へ,to the right
妻の妊娠を境に,after wife’s pregnancy,食物,food,作るには,to make it,集約,"intensiveness, collecting",忘れないように,to not to forget,淡水魚,freshwater fish
あの事件を境に,after that incident,本物,genuine article,この先へ行くには,to go beyond this,要約,summary,予約しやすい,easy to reserve,天ぷら,tempura
怒りを禁じえない,cannot help being angry,作物,crops,結婚するには,to get married,契約書,(written) contract,食べやすい,easy to eat,入試,entrance exam
驚き禁じえなかった,couldn't help but be amazed,書物,"book, volume​",時間につき,per hour,盟約,"oath, pledge",運転しやすい,easy to drive,コンサートホール,a concert hall
喜び禁じえなかった,couldn't help but rejoice,物理,laws of nature,人につき,per head,約数,"divisor, factor",歩きやすい,easy to walk on,実用,practical
失笑禁じえなかった,couldn't stop laughing,生き物,living thing,閉店につき,due to the closure,紅茶,black tea,全て解いてしまった,solved everything,恐れる,fear
涙を禁じえなかった,couldn't help but cry,物音,sounds,工事中につき,due to construction,紅葉,autumn colours,壊してしまった,I broke it!,法学部,school of law
英語版を皮切りに,starting with english version,瀬戸物,earthenware,雨天につき,due to rainy weather,口紅,lipstick,忘れてしまった,I forgot!,机,desk
課長を皮切りに,starting with eh chief,実物,real thing,大好評につき,due to popular demand,紅白,red and white,着てみたい,I’d like to try,七面鳥,turkey
勉強を兼ねて,for the purpose of studying,産物,product,見るにつけ,whenever i see,紅潮,"flush, blush",受けてみようかな,I think i’ii take it,鳥皮,chicken skin
遊びを兼ねて　,for fun,物置,storage room,聞くにつけ,whenever i hear,紅炎,red flame,泊まってみたい,I'd like to stay,気にするあまり,worrying too much
兼ねている,serve two functions,物差し,"ruler, measure",家族とともに,together with family,糺す,"to ascertain, to confirm",食べてみてもいい,you can try to eat it,役所,town hall
努力を重ねて,through handwork,物凄い,terrific,風とともに,with the wind,糾う,to twist (something),使ってみて,try to use it,住まい,living
我慢を重ねて,patience upon patience,物騒,"dangerous, unsettled",買い上げの方に限り,for those who purchase only,紛糾,complication,休みが欲しい,I want a break,生魚,raw fish
失敗を重ねて,failure after failure,入れ物,container,ご来店の方に限り,for those who come only,糾合,rally,家が欲しい,I want a house,表紙,cover
今月限りで,this month only,獲物,"prey, catch",在住の方に限り,for resident only,糾弾,"censure, denunciation",降り出した,It started to rain,休日になる,to be on holiday
今シーズン限りで,this season only,物資,goods,女性の方に限り,for women only,酸素,oxygen,笑い出した,I started to laugh,飽きる,get tired of
今日限りで,today only,偽物,counterfeit,場合に限り,for this case only ,水素,hydrogen,試験のために,for examination,打付ける,to strike
