Words,Reading,Meaning,Type,S1,T1
負かす,makasu,defeat,,チェスで人を負かす,Beat a person at chess.
配達する,haitatsu suru,deliver,,日曜日に配達していますか,Do you deliver on Sundays?
配達,tayoru,depend on,,に頼るな,Don’t rely on him.
言い表す,iiarawasu,describe,,その物体がどんな物か言い表す事が出来ますか,Can you describe the object?
崩す,kuzusu,"destroy, break down",,酒で彼は身を崩した,Drink brought about his downfall.
滅ぼす,horobosu,"destroy, ruin",,彼は酒で身を滅ぼした,Drinking was his ruin.
死ぬ,shinu,die,,退屈で死にそうだ,I am bored to death.
掘る,horu,dig,,彼は穴をほった,He dug a hole.
話し合う,hanashiau,Discuss,,虚心坦懐に話し合った,We talked quite frankly.
嫌がる,iyagaru,"dislike, hate",,猫はぬれるのを嫌がる,Cats dislike being wet.
忘ける,wakeru,"divide, separate",,それを３人の間で分けよ,Divide it among the three.
離婚する,rikon suru,divorce,,どちらかといえば彼とは離婚したい,"If anything, I want a divorce from him."
する,suru,do,,ログアウトするんじゃなかったよ,I shouldn’t have logged off.
やる,yaru,do,,やりますか,Will you do it?
頑張る,ganbaru,do your best,,彼は一生懸命がんばる,He tries hard.
ダウンロードする,daunro-do suru,download,,このプログラムを持っていないならば、今ダウンロードすることができます,"If you do not have this program, you can download it now."
疑う,utagau,"doubt, suspect",,疑う余地はない,There is no room for doubt.
描く,kaku,draw,,彼はよく風景を描く,He often paints landscapes.
飲む,nomu,drink,,コーヒーを飲むの？,Do you drink coffee?
する,untensuru,drive,,安全運転してね,Drive safely.
運転,kawakasu,dry,,どうして髪を乾かしているの,Why are you drying your hair?
干す,hosu,"dry, air",,蒲団を干して下さい,Air the futon.
食べる,taberu,eat,,食べたの？,Have you eaten?
躙る,nijiru,edge forward,,彼女のドレスはにじの色のほとんどがそろっている,Her dresses show most of the hues of the rainbow.
メールする,me-ru suru,email,,後でちゃんと調べてメールする,I will email you after I check it thoroughly.
抱く,daku,"embrace, hug",,彼は彼女をしっかりと抱いた,He held her tightly.
励ます,hagemasu,encourage,trans.,僕が彼を励ましに行こう,I will go to encourage him.
終わる,owaru,end,intrans.,いつ終わるの？,When’s it over?
楽しむ,tanoshimu,"enjoy, have fun",godan,楽しんでね,Have a good time.
入る,hairu,enter,intrans.,お入りください,Please come in.
優れる,sugureru,"excel, be excellent, be superior",intrans.,優れたコンピューターでもチェスではあなたを負かせない,Even a good computer cannot beat you at chess. 
運動する,undousuru,exercise,suru,毎日運動するようにする,Exercise every day.
取り換える,torikaeru,exchange,trans.,彼らは欠陥テレビを新しいのと取りかえた,They replaced the defective TV with a new one.
期待する,kitai suru,expect,,彼におおいに期待している,I expect a lot from him.
目にあう,me ni au,experience,,ひどい目にあった,I had a terrible experience.
説明する,setsumei suru,explain,,詳しく説明してください,Please explain in detail.
出す,dasu,"extract, take out",,金を出しなさい,Get out your money.
向かう,mukau,"face, turn/head toward",intrans.,彼は家に向かった,He made for home.
失敗する,shippai suru,fail,,彼は多分失敗するだろう,He will probably fail.
眠る,nemuru,fall asleep,,彼は眠っている,He’s asleep.
転ぶ,korobu,fall down,,赤ん坊はよく転ぶ,Babies often fall down.
倒れる,taoreru,"fall down, collapse",,木が倒れた,The tree fell down.
降る,furu,fall from the sky,,雪が降った,It snowed.
惚れる,horeru,fall in love,,君に惚れてる,I’m falling in love with you.
下がる,sagaru,"fall, drop, hang",,温度が下がる,The temperature falls.
落ちる,ochiru,"fall, go down",,葉が落ちた,The leaves fell.
おならをする,onara wo suru,fart,,おばあさんは必ずおならをする,The old lady is bound to fart.
怖がる,kowagaru,fear,,彼女は吠える犬を怖がる,She is afraid of barking dogs.
恐れる,osoreru,"fear, be in awe of",,恐れるな,Don’t be afraid.
めいる,meiru,feel depressed,,雨の日は気がめいるよ,Rainy days make me depressed.
沈む,shizumu,"feel depressed, sink",,船が沈んでいく,The ship is sinking.
火照る,hoteru,feel hot,,顔がほてります,My cheeks burn.
感じる,kanjiru,"feel, sense",,生を感じる,I feel alive.
弄る,ijiru,fiddle with,,その鍵をいじるな！,Don’t play with that key!
闘う,tatakau,"fight against, struggle against",intrans.,病気と闘う,Struggle with disease.
見つける,mitsukeru,find,trans.,これから見つけます,I’ll find one later.
終わる,owaru,finish,intrans.,期間が終わる,The period [term] ends
片付ける,katazukeru,"finish, tidy up, clean",trans.,テーブルを片付()けなさい,Clear off the table
釣る,tsuru,"to fish, to lure in",trans.,彼は魚を３匹釣った,He caught three fish.
浮かぶ,ukabu,"float, come to mind",godan,すばらしいアイデアが浮かんだよ,I’ve got a splendid idea.
流れる,nagareru,"flow, be called off",intrans.,涙が流れている,Tears flow down.
畳む,tatamu,"to fold, to close (a shop, business), to vacate",trans.,布団を畳みなさい,Fold up your futon.
忘れる,wasureru,forget,trans.,忘れないでください,Please do not forget.
許す,yurusu,"forgive, allow,",trans.,あなたが後悔しているのなら許してあげよう,"As you are sorry, I’ll forgive you."
並ぶ,narabu,"form a line, equal",intrans.,並んでお待ちください,"Wait in line, please."
集まる,atsumaru,"gather, assemble",intrans.,明日集まりましょう,Let’s get together tomorrow
仰ぐ,aogu,"gaze, look up, respect, fan oneself",trans.,空を仰ぎ見る,Look up to the skies.
得る,eru,get,trans.,彼は即答を得た,He won an immediate response.
怒る,okoru,get angry,trans.intrans.,まあまあ、そう怒らないでくださいな," Now, please don’t get so angry."
着換える,kikaeru,get changed,trans.intrans.,私はもう着替えました,I have already changed my clothes.
曇る,kumoru,get cloudy,intrans.,曇ってきた,It’s getting cloudy.
太る,futoru,get fat,intrans.,彼女は太っているとはいえないまでも大柄な人だ," She is large, not to say fat."
越える,koeru,"get fat, grow fertile, cross over, exceed",trans.,彼女は少なくとも４０才は越えていると思う,I think she’s over 40 years old.
入る,hairu,"get in, break into, to join , to contain, to hold, to have",intrans.,補足情報には、副詞や副詞のはたらきをするものが入ります,Supplementary information includes adverbs and things that function as adverbs. 
降りる,oriru,"get off, go down",intrans.,姫路駅で降りなさい,Get off at Himeji Station
疲れる,tsukareru,get tired,intrans.,目が疲れやすいです,My eyes get tired very easily.
起きる,okiru,get up,intrans.,早く起きろ,Get up early
慣れる,nareru,"get used to, become familiar with",intrans.,夜更かしになれている,I’m used to staying up late.
暖まる,atatamaru,get warm,intrans.,味噌汁が温まった,The miso soup has heated up.
あげる,ageru,give,trans.,あなたは時には妹さんにおこづかいをあげますか,Do you sometimes give your sister money?
くれる,kureru,give (the giver is not the speaker),trans.,「なあ、そこの姉さん」「え？」「ちょっと相談に乗ってくれないか？」,"“Say, you, the lady over there.” “Eh?” “Could you give me a bit of advice?”"
返す,kaesu,"give back, return (something to someone)",trans.,必ず明日その本を返しなさい,Don’t fail to return the book tomorrow.
思い切る,omoikiru,"give up all thoughts of,  to abandon",trans.intrans.,彼女の事が思い切れない,I can’t forget her.
睨む,niramu,"glare at, keep an eye on",trans.,彼はにくらしげに彼女をにらんだ,He stared at her with hatred.
齧る,kajiru,"gnaw, nibble",trans.,犬は肉を骨からかじりとった,The dog bit meat off the bone.
行く,iku,go,intrans.,幼なじみが春から大阪の大学に行くらしい,Apparently an old friend of mine is going to a university in Osaka in Spring.
進む,susumu,"go forward, advance",intrans.,エイズウイルスの拡散は恐るべき速さで進んでいる,The speed of the spread of AIDS is horrifyingly fast.
狂う,kuruu,"go mad, be out of order",intrans.,私の時計は狂っている, My watch is broken.
出る,deru,go out,intrans.,月も出ていない闇夜だった,"It was a dark night, with no moon."
出かける,dekakeru,"go out, leave home",intrans.,旅に出かけたい気がする,I feel like going on a trip.
回る,mawaru,go round,intrans.,葉が空中でぐるぐる回っていた,Leaves were whirling in the air.
上がる,agaru,"go up, rise",,幕があがった,The curtain rose
握る,nigiru,grasp,,彼女はロープをしっかりと握った,She took a strong hold on the rope. 
迎える,mukaeru,"greet, meet, welcome",,友人を迎えに駅まで行ってきたところだ,I’ve been to the station to meet a friend.
生える,haeru,grow,,植物が生える,Plants grow.
暮れる,kureru,grow dark (sunset),,冬の日は速く暮れる,"In the winter, days are shorter."
歳取る,toshitoru,grow old,,みんな死んでいくな。俺も歳取るはずだ。,Everyone dies. I’ll grow old to
