Words,Reading,Meaning,Type,S1,S2,T1,T2,T3,S3,W1,W2,W3
流行る,hayaru,become popular,,今何が流行っていますか,,What is popular now?,,,,,,
強まる,tsuyomaru,become stronger,,年をとると共に、情熱は薄れるが、身についた習慣は強まるものだ,,"Passions weaken, but habits strengthen, with age.",,,,,,
濡れる,nureru,become wet,,それが濡れている,,That is wet.,,,,,,
始まる,hajimaru,begin,,映画が始まります,,The movie starts.,,,,,,
信じる,shinjiru,believe,trans.,僕()は君()を信()じる,,I believe you.,,,,,,
見くびる,mikubiru,"belittle, despise",trans.,その運転選手は決して相手をみくびるようなことはしない,,The student insulted the teacher.,,,,,,
捻る,hineru,"bend, twist",trans.,体を捻ってから下までしゃがみます,,"After twisting your body, squat down.",,,,,,
噛む,kamu,bite,trans.,あなたの犬は噛む？,,Does your dog bite?,,,,,,
咲く,saku,bloom,,花は咲く,,Flowers bloom.,,,,,,
吹く,fuku,"blow, wipe",,風が吹く,,The wind blows.,,,,,,
乗る,noru,"board, ride on",,バスに乗りなさい,,Take a bus.,,,,,,
威張る,ibaru,boast,,彼はいつもいばりちらしています,,He is always throwing his weight around.,,,,,,
借りる,kariru,"borrow, rent",,ペン借りていい？,,Can I borrow your pen?,,,,,,
壊れる,kowareru,break,,シャワーが壊れた,,The shower is broken.,,,,,,
呼吸する,koukyuu suru,breathe,,酸素は私たちが呼吸すると肺の中に取り込まれる,,Oxygen is taken into our lungs when we breathe.,,,,,,
切れる,kireru,"break, cut off, expire",,お茶が切れています,,We’ve run out of tea.,,,,,,
立てる,tateru,build,,誰が立てたのですか,,Who built it?,,,,,,
焼ける,yakeru,burn,,焼けるように熱い,,It is broiling hot.,,,,,,
買う,kau,buy,,これを買います,,I’ll buy this.,,,,,,
呼ぶ,yobu,call,,警察を呼んで！,,Call the police,,,,,,
電話する,denwa suru,call (phone),,後で電話して!,,Call me later!,,,,,,
出来る,dekiru,"can, be able",,ボブは料理ができる,,Bob can cook.,,,,,,
気を付ける,ki wo tsukeru,care,,お体にお気を付けください,,Please take care of yourself.,,,,,,
構う,kamau,"care about, mind",,どっちでも構いません,,It doesn’t matter.,,,,,,
運ぶ\,hakobu,carry,,これを運んでください,,Carry this for me.,,,,,,
担ぐ,katsugu,carry on one’s shoulders,,彼は肩に銃を担いだ,,He carried a rifle on his shoulder.,,,,,,
挟む,hasamu,"catch, hold (between two things)",,ドアに指をはさみました,,I caught my finger in the door.,,,,,,
祝う,iwau,"celebrate, congratulate",,七夕は七月に祝う,,We celebrate the Star Festival in July.,,,,,,
変える,kaeru,change,,老人が考えを変えるのは難しい,,It is hard for an old man to change his way of thinking.,,,,,,
変わる,kawaru,change,,流行はすぐ変わります,,Fashions change quickly.,,,,,,
追う,ou,"chase, drive away",,あの車を追ってくれ,,Follow that car.,,,,,,
喋る,shaberu,chatter,,僕たちの計画を誰にもしゃべるな,,Don’t mention our plan to anybody.,,,,,,
調べる,shiraberu,"check, investigate",,私はその事件を調べた,,I looked into the incident.,,,,,,
噛む,kamu,chew,,食物をよくかみなさい,,Chew your food well.,,,,,,
選ぶ,erabu,"choose, select",,これを選びます,,This is my choice,,,,,,
食い違う,kuichigau,"clash, disagree",,この点で私たちの意見が食い違うのは確かだ,,It is on this point that our opinions differ.,,,,,,
晴れる,hareru,"clear up, tidy up",,空が晴れた,,The sky has become clear.,,,,,,
登る,noboru,climb,,猿は木に登る,,Monkeys climb trees.,,,,,,
閉まる,shimaru,"close, be closed",,ドアが閉まるの聞こえた,,I heard the door close.,,,,,,
崩れる,kuzureru,"collapse, cave in",,壁が地震で崩れた,,The wall gave way in the earthquake.,,,,,,
来る,kuru,come,,来られますか,,Can you come?,,,,,,
外れる,hazureru,"come off, go wide",,彼の話は要点をはずれている,,His talk is off the point.,,,,,,
解ける,hodokeru,"come untied, loose",,靴紐が解けていますよ,,Your shoes are untied.,,,,,,
慰める,nagusameru,comfort,,私は彼女を慰めることができる,,I can comfort her.,,,,,,
言いつける,iitsukeru,command,,彼は私にそれをするように言いつけた,,He told me to do it.,,,,,,
通う,kayou,commute,,兵庫大学に通っています,,I go to Hyogo University.,,,,,,
比べる,kuraberu,compare,,ロンドンは東京に比べて小さい,,London is smaller than Tokyo.,,,,,,
文句を言う,monku wo iu,complain,,文句を言うな,,Don’t complain.,,,,,,
凝らす,korasu,concentrate,,彼は息を凝らしてその光景を見つめていた,,He was watching the scene with breathless interest.,,,,,,
繋ぐ,tsunagu,"connect, fasten",,彼は犬を木につないだ,,He tied the dog to a tree.,,,,,,
連絡する,renraku suru,contact,,手紙で連絡してください,,Please contact me by letter.,,,,,,
続ける,tsuzukeru,continue,,ぜひ練習()を続()けなさい,,Do keep practicing!,,,,,,
続く,tsuzuku,"continue, follow",,吹雪が続いた,,The snowstorm continued.,,,,,,
料理する,ryouri suru,cook,,今晩は私が料理します,,I’ll cook for you tonight.,,,,,,
冷やす,hiyasu,"cool, refridgerate",trans.,頭を冷やせよ,,Calm down.,,,,,,
冷える,hieru,cool down,intrans.,今夜は冷えるでしょう,,It will cool down tonight.,,,,,,
数える,kazoeru,count,,３０まで数えなさい,,Count up to thirty.,,,,,,
渡る,wataru,cross,,通りを渡れ,,Cross the street.,,,,,,
越す,kosu,"cross, pass, move ahead",,彼は４０歳を越している,,He is past forty.,,,,,,
砕く,kudaku,"crush, smash",,愛は人の心を砕くこともできるのさ,,But love can break your heart.,,,,,,
鳴く,naku,cry,,鳥は鳴く,,Birds sing.,,,,,,
切る,kiru,cut,,それを半分にきりなさい,,Cut it in half.,,,,,,
踊る,odoru,dance,,私も踊るのが好きです,,I like dancing too.,,,,,,
付き合う,tsukiau,date,,君達はいつからつきあっているのですか,,How long have you been dating?,,,,,,
腐る,kusaru,"decay, go bad, be depressed",,牛乳が腐った,,The milk has gone bad.,,,,,,
偽る,itsuwaru,"deceive, lie",,彼は年齢を偽った,,He lied about his age.,,,,,,
決める,kimeru,"decide, choose",,決めました,,I made my decision.,,,,,,
定める,sadameru,"decide, establish",,それは法律が定めていることである,,It is what the law ordains.,,,,,,
飾る,kazaru,"decorate, display",,話はかわりますが,,To change the subject.,,,,,,
減る,heru,"decrease, reduce",,この町の人口は減った,,The population of this city has decreased.,,,,,,
負かす,makasu,defeat,,チェスで人を負かす,,Beat a person at chess.,,,,,,
配達する,haitatsu suru,deliver,,日曜日に配達していますか,,Do you deliver on Sundays?,,,,,,
配達,tayoru,depend on,,に頼るな,,Don’t rely on him.,,,,,,
言い表す,iiarawasu,describe,,その物体がどんな物か言い表す事が出来ますか,,Can you describe the object?,,,,,,
崩す,kuzusu,"destroy, break down",,酒で彼は身を崩した,,Drink brought about his downfall.,,,,,,
滅ぼす,horobosu,"destroy, ruin",,彼は酒で身を滅ぼした,,Drinking was his ruin.,,,,,,
死ぬ,shinu,die,,退屈で死にそうだ,,I am bored to death.,,,,,,
掘る,horu,dig,,彼は穴をほった,,He dug a hole.,,,,,,
話し合う,hanashiau,Discuss,,虚心坦懐に話し合った,,We talked quite frankly.,,,,,,
嫌がる,iyagaru,"dislike, hate",,猫はぬれるのを嫌がる,,Cats dislike being wet.,,,,,,
忘ける,wakeru,"divide, separate",,それを３人の間で分けよ,,Divide it among the three.,,,,,,
離婚する,rikon suru,divorce,,どちらかといえば彼とは離婚したい,,"If anything, I want a divorce from him.",,,,,,
する,suru,do,,ログアウトするんじゃなかったよ,,I shouldn’t have logged off.,,,,,,
やる,yaru,do,,やりますか,,Will you do it?,,,,,,
頑張る,ganbaru,do your best,,彼は一生懸命がんばる,,He tries hard.,,,,,,
ダウンロードする,daunro-do suru,download,,このプログラムを持っていないならば、今ダウンロードすることができます,,"If you do not have this program, you can download it now.",,,,,,
疑う,utagau,"doubt, suspect",,疑う余地はない,,There is no room for doubt.,,,,,,
描く,kaku,draw,,彼はよく風景を描く,,He often paints landscapes.,,,,,,
飲む,nomu,drink,,コーヒーを飲むの？,,Do you drink coffee?,,,,,,
する,untensuru,drive,,安全運転してね,,Drive safely.,,,,,,
運転,kawakasu,dry,,どうして髪を乾かしているの,,Why are you drying your hair?,,,,,,
干す,hosu,"dry, air",,蒲団を干して下さい,,Air the futon.,,,,,,
食べる,taberu,eat,,食べたの？,,Have you eaten?,,,,,,
躙る,nijiru,edge forward,,彼女のドレスはにじの色のほとんどがそろっている,,Her dresses show most of the hues of the rainbow.,,,,,,
メールする,me-ru suru,email,,後でちゃんと調べてメールする,,I will email you after I check it thoroughly.,,,,,,
抱く,daku,"embrace, hug",,彼は彼女をしっかりと抱いた,,He held her tightly.,,,,,,
励ます,hagemasu,encourage,trans.,僕が彼を励ましに行こう,,I will go to encourage him.,,,,,,
終わる,owaru,end,intrans.,いつ終わるの？,,When’s it over?,,,,,,
楽しむ,tanoshimu,"enjoy, have fun",godan,楽しんでね,,Have a good time.,,,,,,
入る,hairu,enter,intrans.,お入りください,,Please come in.,,,,,,
優れる,sugureru,"excel, be excellent, be superior",intrans.,優れたコンピューターでもチェスではあなたを負かせない,,Even a good computer cannot beat you at chess. ,,,,,,
運動する,undousuru,exercise,suru,毎日運動するようにする,,Exercise every day.,,,,,,
